# Generated by tools/n64stack/frames.py export from build/eu/sm64.eu.elf. Functions on the
# N64's call paths to set_camera_mode, find_floor_from_list, bhv_jrb_sliding_box_loop, with their stack frame sizes.
game_loop_sp	0x802021b8
src/game/behavior_actions.c	bhv_falling_bowser_platform_loop	24
src/game/behavior_actions.c	bowser_flame_despawn	24
src/game/behavior_actions.c	bhv_flame_bowser_loop	32
src/game/behavior_actions.c	bhv_flame_moving_forward_growing_loop	32
src/game/behavior_actions.c	bhv_flame_floating_landing_loop	24
src/game/behavior_actions.c	bhv_blue_bowser_flame_loop	64
src/game/behavior_actions.c	bhv_flame_bouncing_loop	40
src/game/behavior_actions.c	bhv_blue_flames_group_loop	40
src/game/behavior_actions.c	bhv_tank_fish_group_loop	64
src/game/behavior_actions.c	bhv_checkerboard_elevator_group_init	72
src/game/behavior_actions.c	water_level_pillar_undrained	24
src/game/behavior_actions.c	bhv_water_level_pillar_loop	24
src/game/behavior_actions.c	bhv_rotating_clock_arm_loop	40
src/game/behavior_actions.c	ukiki_act_idle	24
src/game/behavior_actions.c	ukiki_free_loop	24
src/game/behavior_actions.c	bhv_ukiki_loop	24
src/game/behavior_actions.c	fire_bar_spawn_flames	88
src/game/behavior_actions.c	fire_bar_act_1	24
src/game/behavior_actions.c	bhv_lll_rotating_block_fire_bars_loop	24
src/game/behavior_actions.c	bhv_lll_floating_wood_bridge_loop	64
src/game/behavior_actions.c	bhv_volcano_flames_loop	24
src/game/behavior_actions.c	hexagonal_ring_spawn_flames	32
src/game/behavior_actions.c	bhv_lll_rotating_hexagonal_ring_loop	24
src/game/behavior_actions.c	koopa_shell_spawn_water_drop	32
src/game/behavior_actions.c	bhv_koopa_shell_flame_loop	32
src/game/behavior_actions.c	bhv_koopa_shell_flame_spawn	40
src/game/behavior_actions.c	koopa_shell_spawn_sparkles	24
src/game/behavior_actions.c	bhv_koopa_shell_loop	32
src/game/behavior_actions.c	bhv_tox_box_loop	24
src/game/behavior_actions.c	piranha_plant_check_interactions	48
src/game/behavior_actions.c	piranha_plant_act_sleeping	24
src/game/behavior_actions.c	piranha_plant_act_woken_up	24
src/game/behavior_actions.c	piranha_plant_act_shrink_and_die	24
src/game/behavior_actions.c	bhv_piranha_plant_loop	24
src/game/behavior_actions.c	bhv_lll_bowser_puzzle_spawn_piece	24
src/game/behavior_actions.c	bhv_lll_bowser_puzzle_spawn_pieces	64
src/game/behavior_actions.c	bhv_lll_bowser_puzzle_loop	40
src/game/behavior_actions.c	bhv_lll_bowser_puzzle_piece_loop	24
src/game/behavior_actions.c	tuxies_mother_act_1	48
src/game/behavior_actions.c	bhv_tuxies_mother_loop	24
src/game/behavior_actions.c	small_penguin_free_actions	24
src/game/behavior_actions.c	bhv_small_penguin_loop	24
src/game/behavior_actions.c	fish_spawner_act_spawn	88
src/game/behavior_actions.c	bhv_fish_spawner_loop	24
src/game/behavior_actions.c	bhv_fish_loop	32
src/game/behavior_actions.c	bub_spawner_act_0	40
src/game/behavior_actions.c	bhv_bub_spawner_loop	24
src/game/behavior_actions.c	bub_act_2	24
src/game/behavior_actions.c	bhv_bub_loop	24
src/game/behavior_actions.c	exclamation_box_act_1	24
src/game/behavior_actions.c	exclamation_box_spawn_contents	24
src/game/behavior_actions.c	exclamation_box_act_4	24
src/game/behavior_actions.c	bhv_exclamation_box_loop	24
src/game/behavior_actions.c	bhv_sushi_shark_loop	24
src/game/behavior_actions.c	bhv_jrb_sliding_box_loop	176
src/game/behavior_actions.c	bhv_hidden_blue_coin_loop	24
src/game/behavior_actions.c	bhv_blue_coin_switch_loop	24
src/game/behavior_actions.c	bhv_openable_grill_loop	48
src/game/behavior_actions.c	tweester_act_chase	40
src/game/behavior_actions.c	bhv_tweester_loop	24
src/game/behavior_actions.c	bhv_courtyard_boo_triplet_init	64
src/game/behavior_actions.c	boo_update_during_death	32
src/game/behavior_actions.c	boo_act_1	40
src/game/behavior_actions.c	boo_act_3	24
src/game/behavior_actions.c	boo_act_4	32
src/game/behavior_actions.c	bhv_boo_loop	24
src/game/behavior_actions.c	big_boo_act_1	32
src/game/behavior_actions.c	big_boo_spawn_ghost_hunt_star	24
