# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/coin/coin_front.ia16.inc.c	2048	[1950768, 22400]
texture	actors/coin/coin_side.ia16.inc.c	2048	[1950768, 26496]
texture	actors/coin/coin_tilt_left.ia16.inc.c	2048	[1950768, 28544]
texture	actors/coin/coin_tilt_right.ia16.inc.c	2048	[1950768, 24448]
texture	actors/cyan_fish/cyan_fish.rgba16.inc.c	2048	[1658080, 54376]
texture	actors/dirt/dirt_particle.rgba16.inc.c	512	[1950768, 179704]
texture	actors/door/bbh_door.rgba16.inc.c	4096	[1950768, 66832]
texture	actors/door/bbh_door_overlay.rgba16.inc.c	2048	[1950768, 70928]
texture	actors/door/door_lock.rgba16.inc.c	1024	[1950768, 79120]
texture	actors/door/hmc_mural_door.rgba16.inc.c	4096	[1950768, 60688]
texture	actors/door/hmc_mural_door_overlay.rgba16.inc.c	2048	[1950768, 64784]
texture	actors/door/metal_door.rgba16.inc.c	4096	[1950768, 54544]
texture	actors/door/metal_door_overlay.rgba16.inc.c	2048	[1950768, 58640]
texture	actors/door/one_star_door_sign.rgba16.inc.c	2048	[1950768, 75024]
texture	actors/door/polished_wooden_door.rgba16.inc.c	4096	[1950768, 40208]
texture	actors/door/polished_wooden_door_overlay.rgba16.inc.c	4096	[1950768, 44304]
texture	actors/door/rough_wooden_door.rgba16.inc.c	4096	[1950768, 48400]
texture	actors/door/rough_wooden_door_overlay.rgba16.inc.c	2048	[1950768, 52496]
texture	actors/door/three_star_door_sign.rgba16.inc.c	2048	[1950768, 77072]
texture	actors/door/zero_star_door_sign.rgba16.inc.c	2048	[1950768, 72976]
texture	actors/dorrie/dorrie_eye.rgba16.inc.c	512	[1847040, 39840]
texture	actors/dorrie/dorrie_skin.rgba16.inc.c	4096	[1847040, 40352]
texture	actors/dorrie/dorrie_tongue.rgba16.inc.c	2048	[1700432, 140240]
texture	actors/exclamation_box/exclamation_box_front.rgba16.inc.c	2048	[1888800, 95784]
texture	actors/exclamation_box/exclamation_box_side.rgba16.inc.c	4096	[1888800, 97832]
texture	actors/exclamation_box/metal_cap_box_front.rgba16.inc.c	2048	[1888800, 83496]
texture	actors/exclamation_box/metal_cap_box_side.rgba16.inc.c	4096	[1888800, 85544]
texture	actors/exclamation_box/vanish_cap_box_front.rgba16.inc.c	2048	[1888800, 77352]
texture	actors/exclamation_box/vanish_cap_box_side.rgba16.inc.c	4096	[1888800, 79400]
texture	actors/exclamation_box/wing_cap_box_front.rgba16.inc.c	2048	[1888800, 89640]
texture	actors/exclamation_box/wing_cap_box_side.rgba16.inc.c	4096	[1888800, 91688]
texture	actors/exclamation_box_outline/exclamation_box_outline.rgba16.inc.c	2048	[1888800, 151912]
